itemId,category,name,brandName,price,averageRating,totalReviews,retrievedDate
122584196,beli-smart-tv,Lenovo ip110-14ibr - N3160 - 2GB - 500GB - DOS,Lenovo,3250000,5,1,02/10/2019
122824731,beli-smart-tv,MSI GE62 7RE Apache Pro Camo Squad,MSI,20999000,5,1,02/10/2019
122854482,beli-smart-tv,VITRON LTV1710S LED TV Layar 17 inch Murah Canggih Awet,Vitron,775000,4,36,02/10/2019
123586249,beli-smart-tv,LAPTOP GAMING TERBAIK Asus ROG GL 552X KBL DM409T Plus Back Pack Asus ROG I7 Kabylake 8GB DDR4 HDD 1TB VGA NVIDIA GEFORCE GTX 950M 4GB Windows 10,Asus,13650000,4,14,02/10/2019
123661186,beli-smart-tv,"Sharp LC-32LE180 Aquos LED TV 32"" - Hitam - Khusus Jabodetabek",Sharp,2800000,4,2,02/10/2019
123668394,beli-smart-tv,"Sharp LC-65LE275 Aquos LED TV 65"" - Hitam - Khusus Jabodetabek",Sharp,24500000,1,1,02/10/2019
123672084,beli-smart-tv,APPLE MACBOOK AIR 2017 MQD32 - 8gb - 1.8ghz - 128gb ssd -New /BNIB,Apple,12901000,4,10,02/10/2019
123734044,beli-smart-tv,"Lenovo V110 15ISK Core I3 6100 Ram 4GB Hardisk 500GB Windows 10 PRO LCD 15.6""",Lenovo,5379000,5,1,02/10/2019
123820055,beli-smart-tv,"Lenovo V110-15ISK With  AMD Radeon 530 2GB I Core  i3-6006U I 1TB HDD I 4GB DDR4 RAM I 15,6 HD LED  I DVDRW I DOS",Lenovo,5665000,5,2,02/10/2019
123900212,beli-smart-tv,"Laptop 14"" Lenovo Ideapad 110-14IBR DOS Intel N3060 RAM 4GB HDD 500GB Hanya 3 Juta-An",Lenovo,3999000,4,2,02/10/2019
123929949,beli-smart-tv,Acer Aspire E5-475G-73A3 CORE i7-7500U 4GB 1TB NVIDIA 940MX 2GB GDDR5,Acer,11729000,5,2,02/10/2019
124123539,beli-smart-tv,EELIC TVP-NS169 DVD TV GAME Player Portable Komplit 10 Watt,EELIC,850000,3,5,02/10/2019
124125211,beli-smart-tv,EELIC TVP-NS183 DVD TV GAME Player Portable Komplit 10 Watt,EELIC,950000,4,1,02/10/2019
124125861,beli-smart-tv,LAPTOP GAMING TERBAIK Asus ROG GL 552X KBL DM409T Plus Back Pack Asus ROG I7 Kabylake RAM 4GB HDD 1TB VGA NVIDIA GEFORCE GTX 950M 4GB Windows 10,Asus,13650000,5,1,02/10/2019
